objectid,title,classification,iiifurl,is_portrait
2984,La voluptueuse,Print,https://api.nga.gov/iiif/7a4ab75b-fcc1-40b0-bd8c-c3da45e1aea4,True
2985,Le baiser envoyé,Print,https://api.nga.gov/iiif/cb893110-505d-4455-929b-ec02522e3df7,True
2991,"Marie-Louise, Empress of the French",Print,https://api.nga.gov/iiif/cbf871ab-da4a-4f6e-b2a2-86ff383f13d0,True
2992,L'agreable neglige,Print,https://api.nga.gov/iiif/20bd310a-3bf9-4c02-99e2-9017b10d9595,True
3002,Le petit conseil,Print,https://api.nga.gov/iiif/07e69d00-003b-40cd-93ee-86eba22e719b,True
3009,Portrait d'une jeune princesse,Print,https://api.nga.gov/iiif/215734e9-2b3e-4257-9bdc-ed28e18100a8,True
3017,Les heures du jour,Print,https://api.nga.gov/iiif/8eaf0a97-827c-45fe-bfaf-07e544859969,True
3020,"Marie-Antoinette, Dauphine",Print,https://api.nga.gov/iiif/00c940d1-254c-4a5f-94ec-f5f8ce612d60,True
3061,Queen Marie-Antoinette,Print,https://api.nga.gov/iiif/a31a0f13-cc5a-4135-8246-7bc22e1e2bea,True
3067,Par ici,Print,https://api.nga.gov/iiif/509c12c0-40cd-4a48-9d4e-9775fe0c885b,True
3081,Nouvelles du bien-aime,Print,https://api.nga.gov/iiif/962bb95b-1cb5-480f-9c83-6b482c0f4a82,True
3085,Louise Emilie Baronne de ***,Print,https://api.nga.gov/iiif/d205ff33-8d4b-4363-a890-de587f8b5564,True
3086,Adrienne Sophie Marquise de ***,Print,https://api.nga.gov/iiif/5d332d09-c244-4bc1-9cf0-88b11b27b976,True
3087,Derniere heure de la Baronne de Rebecque,Print,https://api.nga.gov/iiif/1e0bfdfd-88b8-43a7-ae0f-5e9c6a77589d,True
3099,"Marie-Thérèse-Charlotte, Duchess of Angoulême",Print,https://api.nga.gov/iiif/77337b74-5cf3-470c-9347-834c069b4599,True
3106,"Frederica Sophia Wilhelmina of Prussia, Princess of Orange Nassau",Print,https://api.nga.gov/iiif/fdb2ea7f-8dbc-47e5-b1e0-95e6f1e379c4,True
3109,La Belle Jardinière - Madame de Pompadour,Print,https://api.nga.gov/iiif/fa775cee-5bf6-4a99-ae09-8424f6ea9321,True
3110,La Belle Jardinière - Madame de Pompadour,Print,https://api.nga.gov/iiif/5e774b7e-05f1-46d2-bc9f-2c134117219d,True
3111,"Louis-Auguste, Dauphin de France",Print,https://api.nga.gov/iiif/b0959d27-5bd2-464e-bb66-0b8b646987d5,True
3114,Frontispiece: J.J. Rousseau,Print,https://api.nga.gov/iiif/8bd3aa0a-ee82-4c3f-93b7-ab7e6782c216,True
3150,La vertu chancelante,Print,https://api.nga.gov/iiif/26d46720-d8d6-4381-ae90-51c235a2c786,True
3203,Andrew W. Mellon,Print,https://api.nga.gov/iiif/3fe8124f-0c76-4506-9e11-65d809c4c8c0,True
3261,Madonna with a Parrot,Print,https://api.nga.gov/iiif/306fc572-e692-48e0-85d2-5629393935fa,True
3266,Saint Judas Thaddaeus,Print,https://api.nga.gov/iiif/5053df09-2ab9-4a5e-8f90-f12e91e3061a,True
3280,Saint Barbara,Print,https://api.nga.gov/iiif/a704c102-9619-4aae-9ffb-fdb8686cc770,True
3288,Second Foolish Virgin,Print,https://api.nga.gov/iiif/284dd458-a8a1-48ee-ba4d-97c8f731755a,True
3295,"Shield with Lion's Head, Held by Wild Woman",Print,https://api.nga.gov/iiif/ace15954-48d7-4d76-bd22-c1c51dcc8199,True
3311,Double Portrait of Israhel van Meckenem and His Wife Ida,Print,https://api.nga.gov/iiif/d61a07c4-f611-4dee-b377-65b33b74c2c7,True
3341,Saint Matthias (?),Print,https://api.nga.gov/iiif/8163af1b-9439-4528-8926-a12d65c27ea5,True
3342,Saint Peter,Print,https://api.nga.gov/iiif/e20d0c30-ee4b-42f5-9ca7-00244b28d264,True
3366,The Foolish Old Man and the Young Girl,Print,https://api.nga.gov/iiif/4fe6f292-7039-44f3-83d0-020bfc2f58b3,True
3408,Saint Peter,Print,https://api.nga.gov/iiif/f314dd43-72a9-43a0-b7da-4f7f13a28c40,True
3448,The Virgin with the Child on the Crescent,Print,https://api.nga.gov/iiif/ea2faf3f-8fa5-4b6f-b896-e380ae6f9aba,True
3498,Martin Luther,Print,https://api.nga.gov/iiif/b522ca79-1db4-4469-9932-18fb30d62ef7,True
3499,Albert van der Helle,Print,https://api.nga.gov/iiif/b87478fd-4210-4466-b9e5-e5b62da1a02f,True
3500,Self-Portrait,Print,https://api.nga.gov/iiif/8e863882-9319-41b0-a44c-8358e64031d0,True
3505,Dagger Sheath with Gentleman Holding a Parrot,Print,https://api.nga.gov/iiif/5c1ffd81-862a-494c-b8de-1cb2b67b5622,True
3529,Self-Portrait,Print,https://api.nga.gov/iiif/888bc5ca-e887-4ed2-8fc2-fc718b21f7b1,True
3531,Jan van Leyden,Print,https://api.nga.gov/iiif/0e89a164-8140-4870-8b27-c4758ddb4d93,True
3532,Johan van Leyden (Jan Beukels),Print,https://api.nga.gov/iiif/8bee077b-6421-4fa6-9135-a335fe0e9f8a,True
3533,"Wilhelm V, Duke of Julich, Cleve and Berg",Print,https://api.nga.gov/iiif/8164a343-4a8e-43ce-b4bd-ba0700c6c923,True
3536,Design for a Dagger Sheath with Cain and Abel,Print,https://api.nga.gov/iiif/37d8ea1f-184c-4ff4-bede-5ea694d57fcd,True
3537,Design for a Dagger Sheath with Cain and Abel,Print,https://api.nga.gov/iiif/45eefdd5-4406-4907-9fbb-37a7d316d10f,True
3597,Venus with Two Putti,Print,https://api.nga.gov/iiif/cce73ad9-bd1d-46a7-b9c9-0510cd4a642b,True
3606,Martin Luther,Print,https://api.nga.gov/iiif/c84487dc-344f-4d58-a7c4-f3a288e28b5d,True
3639,Albrecht Altdorfer,Print,https://api.nga.gov/iiif/7cbde7ca-6679-4833-9974-4991a0062ca4,True
3643,Gaspar de Coligny,Print,https://api.nga.gov/iiif/7e031054-1c07-4f4b-96b4-e253a47a4e60,True
3733,The Head of Christ,Print,https://api.nga.gov/iiif/79a92130-24f1-4ca8-b82f-c04761c27ce3,True
3734,The Head of Christ,Print,https://api.nga.gov/iiif/d4330acc-03f7-49fe-8b2b-c3407881c357,True
3743,Christ as the Man of Sorrows,Print,https://api.nga.gov/iiif/5b4786f1-7347-44fe-9b66-ffec0c6b924b,True
3791,Saint Agnes [verso],Print,https://api.nga.gov/iiif/110ac935-4abe-4c54-9ac7-fab5a062289d,True
3802,Saint Barbara,Print,https://api.nga.gov/iiif/fe4a7bb1-0d01-4d8b-b146-819b99716745,True
3809,Saint Catherine of Alexandria,Print,https://api.nga.gov/iiif/b45585b7-c276-43c1-ab3b-7ef3e89cb153,True
3814,Saint Clare of Assisi,Print,https://api.nga.gov/iiif/b7a44217-4511-4b0b-b75c-6255ecfb3e89,True
3817,Saint Stephen,Print,https://api.nga.gov/iiif/5fa8c34a-89ba-4145-8632-54b5f9dc6d36,True
